Word,Polarity
13次三振,1
一了千明,1
一人有慶,1
一人當百,1
一力承當,1
一力當先,1
一士諤諤,1
一夕成名,1
一大步,1
一大指標,1
一大突破,1
一大勝利,1
一寸丹心,1
一寸赤心,1
一川如畫,1
一己之力,1
一不為少,1
一介不取,1
一介不苟,1
一元更始,1
一元復始,1
一公無私,1
一分打點,1
一切平等,1
一夫當關,1
一心一意,1
一心一德,1
一心無二,1
一心想,1
一手擎天,1
一斗百篇,1
一日千里,1
一日干里,1
一片丹心,1
一片冰心,1
一片至誠,1
一片赤心,1
一世之雄,1
一世師表,1
一世龍門,1
一以貫之,1
一以當十,1
一代文宗,1
一代文豪,1
一代巨人,1
一代佳人,1
一代宗匠,1
一代宗臣,1
一代風流,1
一代風騷,1
一代楷模,1
一代鼎臣,1
一代談宗,1
一代儒宗,1
一代辭宗,1
一叩洪鐘,1
一平如鏡,1
一本十利,1
一本正經,1
一本初衷,1
一本萬利,1
一瓜共食,1
一申燕賀,1
一目了然,1
一目十行,1
一目五行,1
一目即了,1
一目數行,1
一目瞭然,1
一矢雙穿,1
一石二鳥,1
一石兩鳥,1
一石雙鳥,1
一再,1
一再出現,1
一同競爭,1
一吐為快,1
一向,1
一向無敵,1
一向認為,1
一如,1
一如以往,1
一如往昔,1
一如預期,1
一字一珠,1
一字一淚,1
一字千金,1
一字不易,1
一字不苟,1
一字不差,1
一字之師,1
一字百金,1
一帆風順,1
一佛出世,1
一技之長,1
一見如故,1
一見如舊,1
一見傾心,1
一見傾倒,1
一見鍾情,1
一言九鼎,1
一言千金,1
一言中的,1
一言之薦,1
一言既出,1
一言訂交,1
一言興邦,1
一言興國,1
一身是膽,1
一身清白,1
一併打破,1
一併移轉,1
一併通過,1
一刻千金,1
一味,1
一呼再諾,1
一呼百諾,1
一呼百應,1
一呼而集,1
一呼即集,1
一定,1
一定不易,1
一定不移,1
一定可以,1
一定是,1
一定要,1
一定要像,1
一定時間,1
一定能,1
一定參加,1
一定得,1
一定程度,1
一定會,1
一定會是,1
一往情由,1
一往情深,1
一往深情,1
一枝獨秀,1
一爭高下,1
一物一主,1
一物一制,1
一直,1
一直是,1
一直堅持,1
一秉,1
一秉大公,1
一秉至公,1
一表人才,1
一表人材,1
一表人物,1
一表非凡,1
一表非俗,1
一室生春,1
一律,1
一律列入,1
一柱擎天,1
一流,1
一炮而紅,1
一致,1
一致公認,1
一致支持,1
一致同意,1
一致決,1
一致決議,1
一致性,1
一致的,1
一致宣布,1
一致建議,1
一致看好,1
一致通過,1
一軌同風,1
一軌同鳳,1
一面之雅,1
一面倒,1
一飛沖天,1
一倡三嘆,1
一倡三歎,1
一個機會,1
一展身手,1
一席之地,1
一座皆驚,1
一座盡驚,1
一息千里,1
一旅中興,1
一笑千金,1
一笑傾城,1
